Test,Model Architecture,LearningRate,Stepsize,ImageWidth,ImageHeight,TrainBatchSize,TestBatchSize,GPU,FineTune,Parallel,Iterators
1,alexnet,0.01,500,227,227,256,50,0,,0,20000
2,alexnet,0.01,500,227,227,256,50,1,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,0,20000
3,alexnet,0.01,1000,227,227,256,50,2,,0,20000
4,alexnet,0.01,1000,227,227,256,50,0,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,1,20000
5,alexnet,0.01,2000,227,227,256,50,1,,1,20000
6,alexnet,0.01,2000,227,227,256,50,2,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,1,20000
7,alexnet,0.01,3000,227,227,256,50,0,,2,20000
8,alexnet,0.01,3000,227,227,256,50,1,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,2,20000
9,alexnet,0.01,4000,227,227,256,50,2,,2,20000
10,alexnet,0.01,4000,227,227,256,50,0,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,3,20000
11,alexnet,0.001,500,227,227,256,50,1,,3,20000
12,alexnet,0.001,500,227,227,256,50,2,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,3,20000
13,alexnet,0.001,1000,227,227,256,50,0,,4,20000
14,alexnet,0.001,1000,227,227,256,50,1,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,4,20000
15,alexnet,0.001,2000,227,227,256,50,2,,4,20000
16,alexnet,0.001,2000,227,227,256,50,0,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,5,20000
17,alexnet,0.001,3000,227,227,256,50,1,,5,20000
18,alexnet,0.001,3000,227,227,256,50,2,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,5,20000
19,alexnet,0.001,4000,227,227,256,50,0,,6,20000
20,alexnet,0.001,4000,227,227,256,50,1,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,6,20000
21,alexnet,0.0001,500,227,227,256,50,2,,6,20000
22,alexnet,0.0001,500,227,227,256,50,0,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,7,20000
23,alexnet,0.0001,1000,227,227,256,50,1,,7,20000
24,alexnet,0.0001,1000,227,227,256,50,2,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,7,20000
25,alexnet,0.0001,2000,227,227,256,50,0,,8,20000
26,alexnet,0.0001,2000,227,227,256,50,1,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,8,20000
27,alexnet,0.0001,3000,227,227,256,50,2,,8,20000
28,alexnet,0.0001,3000,227,227,256,50,0,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,9,20000
29,alexnet,0.0001,4000,227,227,256,50,1,,9,20000
30,alexnet,0.0001,4000,227,227,256,50,2,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,9,20000
31,googlenet,0.01,500,224,224,32,50,0,,10,20000
32,googlenet,0.01,500,224,224,32,50,1,http://dl.caffe.berkeleyvision.org/bvlc_googlenet.caffemodel,10,20000
33,googlenet,0.01,1000,224,224,32,50,2,,10,20000
34,googlenet,0.01,1000,224,224,32,50,0,http://dl.caffe.berkeleyvision.org/bvlc_googlenet.caffemodel,11,20000
35,googlenet,0.01,2000,224,224,32,50,1,,11,20000
36,googlenet,0.01,2000,224,224,32,50,2,http://dl.caffe.berkeleyvision.org/bvlc_googlenet.caffemodel,11,20000
37,googlenet,0.01,3000,224,224,32,50,0,,12,20000
38,googlenet,0.01,3000,224,224,32,50,1,http://dl.caffe.berkeleyvision.org/bvlc_googlenet.caffemodel,12,20000
39,googlenet,0.01,4000,224,224,32,50,2,,12,20000
40,googlenet,0.01,4000,224,224,32,50,0,http://dl.caffe.berkeleyvision.org/bvlc_googlenet.caffemodel,13,20000
41,googlenet,0.001,500,224,224,32,50,1,,13,20000
42,googlenet,0.001,500,224,224,32,50,2,http://dl.caffe.berkeleyvision.org/bvlc_googlenet.caffemodel,13,20000
43,googlenet,0.001,1000,224,224,32,50,0,,14,20000
44,googlenet,0.001,1000,224,224,32,50,1,http://dl.caffe.berkeleyvision.org/bvlc_googlenet.caffemodel,14,20000
45,googlenet,0.001,2000,224,224,32,50,2,,14,20000
46,googlenet,0.001,2000,224,224,32,50,0,http://dl.caffe.berkeleyvision.org/bvlc_googlenet.caffemodel,15,20000
47,googlenet,0.001,3000,224,224,32,50,1,,15,20000
48,googlenet,0.001,3000,224,224,32,50,2,http://dl.caffe.berkeleyvision.org/bvlc_googlenet.caffemodel,15,20000
49,googlenet,0.001,4000,224,224,32,50,0,,16,20000
50,googlenet,0.001,4000,224,224,32,50,1,http://dl.caffe.berkeleyvision.org/bvlc_googlenet.caffemodel,16,20000
51,googlenet,0.0001,500,224,224,32,50,2,,16,20000
52,googlenet,0.0001,500,224,224,32,50,0,http://dl.caffe.berkeleyvision.org/bvlc_googlenet.caffemodel,17,20000
53,googlenet,0.0001,1000,224,224,32,50,1,,17,20000
54,googlenet,0.0001,1000,224,224,32,50,2,http://dl.caffe.berkeleyvision.org/bvlc_googlenet.caffemodel,17,20000
55,googlenet,0.0001,2000,224,224,32,50,0,,18,20000
56,googlenet,0.0001,2000,224,224,32,50,1,http://dl.caffe.berkeleyvision.org/bvlc_googlenet.caffemodel,18,20000
57,googlenet,0.0001,3000,224,224,32,50,2,,18,20000
58,googlenet,0.0001,3000,224,224,32,50,0,http://dl.caffe.berkeleyvision.org/bvlc_googlenet.caffemodel,19,20000
59,googlenet,0.0001,4000,224,224,32,50,1,,19,20000
