Test,Model Architecture,LearningRate,Stepsize,ImageWidth,ImageHeight,TrainBatchSize,TestBatchSize,GPU,FineTune,Parallel,Iterators
91,alexnet,0.01,500,227,227,32,50,0,,0,20000
92,alexnet,0.01,500,227,227,32,50,1,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,0,20000
93,alexnet,0.01,1000,227,227,32,50,2,,1,20000
94,alexnet,0.01,1000,227,227,32,50,0,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,1,20000
95,alexnet,0.01,2000,227,227,32,50,1,,2,20000
96,alexnet,0.01,2000,227,227,32,50,2,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,2,20000
97,alexnet,0.01,3000,227,227,32,50,0,,3,20000
98,alexnet,0.01,3000,227,227,32,50,1,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,3,20000
99,alexnet,0.01,4000,227,227,32,50,2,,4,20000
100,alexnet,0.01,4000,227,227,32,50,0,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,4,20000
101,alexnet,0.001,500,227,227,32,50,1,,5,20000
102,alexnet,0.001,500,227,227,32,50,2,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,5,20000
103,alexnet,0.001,1000,227,227,32,50,0,,6,20000
104,alexnet,0.001,1000,227,227,32,50,1,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,6,20000
105,alexnet,0.001,2000,227,227,32,50,2,,7,20000
106,alexnet,0.001,2000,227,227,32,50,0,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,7,20000
107,alexnet,0.001,3000,227,227,32,50,1,,8,20000
108,alexnet,0.001,3000,227,227,32,50,2,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,8,20000
109,alexnet,0.001,4000,227,227,32,50,0,,9,20000
110,alexnet,0.001,4000,227,227,32,50,1,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,9,20000
111,alexnet,0.0001,500,227,227,32,50,2,,10,20000
112,alexnet,0.0001,500,227,227,32,50,0,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,10,20000
113,alexnet,0.0001,1000,227,227,32,50,1,,11,20000
114,alexnet,0.0001,1000,227,227,32,50,2,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,11,20000
115,alexnet,0.0001,2000,227,227,32,50,0,,12,20000
116,alexnet,0.0001,2000,227,227,32,50,1,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,12,20000
117,alexnet,0.0001,3000,227,227,32,50,2,,13,20000
118,alexnet,0.0001,3000,227,227,32,50,0,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,13,20000
119,alexnet,0.0001,4000,227,227,32,50,1,,14,20000
120,alexnet,0.0001,4000,227,227,32,50,2,http://dl.caffe.berkeleyvision.org/bvlc_alexnet.caffemodel,14,20000
