Test,Model Architecture,LearningRate,Stepsize,ImageWidth,ImageHeight,TrainBatchSize,TestBatchSize,GPU,FineTune,Parallel,Iterators
61,resnet,0.01,500,224,224,16,16,"0,1",,0,20000
62,resnet,0.01,500,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,1,20000
63,resnet,0.01,1000,224,224,16,16,"0,1",,2,20000
64,resnet,0.01,1000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,3,20000
65,resnet,0.01,2000,224,224,16,16,"0,1",,4,20000
66,resnet,0.01,2000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,5,20000
67,resnet,0.01,3000,224,224,16,16,"0,1",,6,20000
68,resnet,0.01,3000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,7,20000
69,resnet,0.01,4000,224,224,16,16,"0,1",,8,20000
70,resnet,0.01,4000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,9,20000
71,resnet,0.001,500,224,224,16,16,"0,1",,10,20000
72,resnet,0.001,500,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,11,20000
73,resnet,0.001,1000,224,224,16,16,"0,1",,12,20000
74,resnet,0.001,1000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,13,20000
75,resnet,0.001,2000,224,224,16,16,"0,1",,14,20000
76,resnet,0.001,2000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,15,20000
77,resnet,0.001,3000,224,224,16,16,"0,1",,16,20000
78,resnet,0.001,3000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,17,20000
79,resnet,0.001,4000,224,224,16,16,"0,1",,18,20000
80,resnet,0.001,4000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,19,20000
81,resnet,0.0001,500,224,224,16,16,"0,1",,20,20000
82,resnet,0.0001,500,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,21,20000
83,resnet,0.0001,1000,224,224,16,16,"0,1",,22,20000
84,resnet,0.0001,1000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,23,20000
85,resnet,0.0001,2000,224,224,16,16,"0,1",,24,20000
86,resnet,0.0001,2000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,25,20000
87,resnet,0.0001,3000,224,224,16,16,"0,1",,26,20000
88,resnet,0.0001,3000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,27,20000
89,resnet,0.0001,4000,224,224,16,16,"0,1",,28,20000
90,resnet,0.0001,4000,224,224,16,16,"0,1",https://drive.google.com/open?id=1SCZpan_gXPM-wIufyjPRuoQuZpjbbFYr,29,20000
